Date,Open,High,Low,Close,Adj Close,Volume
2018-12-20,7.465800,7.467300,7.464260,7.466100,7.466100,0
2018-12-21,7.465980,7.467500,7.464880,7.466020,7.466020,0
2018-12-24,7.466120,7.467100,7.465230,7.466110,7.466110,0
2018-12-25,7.466100,7.467900,7.445630,7.466100,7.466100,0
2018-12-26,7.465680,7.467200,7.465680,7.467000,7.467000,0
2018-12-27,7.463400,7.467540,7.462940,7.463550,7.463550,0
2018-12-28,7.465110,7.467300,7.464790,7.465800,7.465800,0
2018-12-31,7.466190,7.467700,7.459320,7.466600,7.466600,0
2019-01-01,7.466200,7.468300,7.464900,7.466200,7.466200,0
2019-01-02,7.465170,7.467300,7.464680,7.465100,7.465100,0
2019-01-03,7.465370,7.467500,7.465260,7.466130,7.466130,0
2019-01-04,7.466470,7.467800,7.464810,7.467200,7.467200,0
2019-01-07,7.466620,7.467500,7.466450,7.466510,7.466510,0
2019-01-08,7.467070,7.467600,7.465510,7.467120,7.467120,0
2019-01-09,7.466360,7.467000,7.464940,7.466350,7.466350,0
2019-01-10,7.465930,7.466500,7.464160,7.466300,7.466300,0
2019-01-11,7.464010,7.464830,7.462770,7.463860,7.463860,0
2019-01-14,7.463740,7.464600,7.462830,7.463790,7.463790,0
2019-01-15,7.463540,7.464600,7.462600,7.463900,7.463900,0
2019-01-16,7.463390,7.464700,7.463090,7.463360,7.463360,0
2019-01-17,7.463530,7.465100,7.463190,7.463640,7.463640,0
2019-01-18,7.463880,7.465200,7.463430,7.463790,7.463790,0
2019-01-21,7.464250,7.466500,7.463910,7.464500,7.464500,0
2019-01-22,7.466000,7.467100,7.464950,7.466100,7.466100,0
2019-01-23,7.466290,7.467300,7.465700,7.466500,7.466500,0
2019-01-24,7.466120,7.466800,7.464790,7.466400,7.466400,0
2019-01-25,7.465020,7.466300,7.464440,7.465600,7.465600,0
2019-01-28,7.465690,7.466300,7.464350,7.465750,7.465750,0
2019-01-29,7.464790,7.465900,7.463940,7.464870,7.464870,0
2019-01-30,7.464330,7.465200,7.463750,7.464300,7.464300,0
2019-01-31,7.464600,7.465950,7.464000,7.464900,7.464900,0
2019-02-01,7.465200,7.465800,7.464540,7.464960,7.464960,0
2019-02-04,7.465380,7.466100,7.464250,7.465260,7.465260,0
2019-02-05,7.464470,7.465400,7.464050,7.464420,7.464420,0
2019-02-06,7.464430,7.465300,7.463840,7.464310,7.464310,0
2019-02-07,7.463450,7.464600,7.462390,7.463430,7.463430,0
2019-02-08,7.462600,7.463740,7.462300,7.462570,7.462570,0
2019-02-11,7.462650,7.463600,7.461910,7.462750,7.462750,0
2019-02-12,7.462400,7.462800,7.461380,7.462020,7.462020,0
2019-02-13,7.461900,7.462900,7.460620,7.461810,7.461810,0
2019-02-14,7.461000,7.461700,7.459860,7.461100,7.461100,0
2019-02-15,7.459560,7.461500,7.459020,7.459480,7.459480,0
2019-02-18,7.461450,7.462100,7.460270,7.461430,7.461430,0
2019-02-19,7.460340,7.461800,7.460270,7.460440,7.460440,0
2019-02-20,7.460800,7.461700,7.460410,7.461000,7.461000,0
2019-02-21,7.461160,7.461900,7.460720,7.461110,7.461110,0
2019-02-22,7.461050,7.462100,7.460700,7.461010,7.461010,0
2019-02-25,7.460980,7.461800,7.460490,7.461000,7.461000,0
2019-02-26,7.460600,7.461600,7.460550,7.461000,7.461000,0
2019-02-27,7.461270,7.461800,7.460110,7.461010,7.461010,0
2019-02-28,7.460600,7.461600,7.459890,7.460540,7.460540,0
2019-03-01,7.460400,7.461540,7.459830,7.460700,7.460700,0
2019-03-04,7.460600,7.461500,7.459980,7.460690,7.460690,0
2019-03-05,7.460730,7.461900,7.460190,7.460740,7.460740,0
2019-03-06,7.460540,7.461400,7.459870,7.460570,7.460570,0
2019-03-07,7.460130,7.461000,7.459340,7.460200,7.460200,0
2019-03-08,7.458900,7.460900,7.458770,7.459300,7.459300,0
2019-03-11,7.460190,7.461500,7.459670,7.460120,7.460120,0
2019-03-12,7.459250,7.460800,7.458810,7.459260,7.459260,0
2019-03-13,7.459000,7.461570,7.458800,7.458940,7.458940,0
2019-03-14,7.460320,7.462700,7.459310,7.460490,7.460490,0
2019-03-15,7.461010,7.463400,7.460940,7.461100,7.461100,0
2019-03-18,7.462270,7.463100,7.461380,7.462150,7.462150,0
2019-03-19,7.461680,7.462400,7.461110,7.461680,7.461680,0
2019-03-20,7.461310,7.462500,7.461120,7.461600,7.461600,0
2019-03-21,7.462010,7.463400,7.461400,7.461980,7.461980,0
2019-03-22,7.461710,7.462600,7.461170,7.462000,7.462000,0
2019-03-25,7.462200,7.464600,7.461690,7.462200,7.462200,0
